CarID,Price,Brand,Year,Mileage,Color,CarDealershipID
0,6300,toyota,2008,274117,black,CDID-aAcA0
1,2899,ford,2011,190552,silver,CDID-499a5
2,5350,dodge,2018,39590,silver,CDID-820cb
3,25000,ford,2014,64146,blue,CDID-e8399
4,27700,chevrolet,2018,6654,red,CDID-ca98A
5,5700,dodge,2018,45561,white,CDID-ca4ab
6,7300,chevrolet,2010,149050,black,CDID-0A1B6
7,13350,gmc,2017,23525,gray,CDID-c2C86
8,14600,chevrolet,2018,9371,silver,CDID-bAc5a
9,5250,ford,2017,63418,black,CDID-3b7A8
10,10400,dodge,2009,107856,orange,CDID-60a53
11,12920,gmc,2017,39650,white,CDID-7c35B
12,31900,chevrolet,2018,22909,black,CDID-BB2c8
13,5430,chrysler,2017,138650,gray,CDID-a39A9
14,20700,ford,2013,100757,black,CDID-ba9B9
15,12710,gmc,2017,25747,white,CDID-AB8C8
16,5200,kia,2018,46194,blue,CDID-Ca7C9
17,16500,buick,2018,20002,red,CDID-Ab9C7
18,5210,ford,2017,35714,white,CDID-2md09
19,38100,ford,2013,54380,gray,CDID-4a9BC
20,12520,gmc,2017,30114,white,CDID-Ab9C7
21,7300,kia,2018,38823,black,CDID-ca4ab
22,15000,chevrolet,2015,61578,black,CDID-ca98A
23,6180,ford,2017,46010,blue,CDID-0A1B6
24,20800,ford,2013,105510,silver,CDID-BB2c8
25,11900,gmc,2017,28040,silver,CDID-2md09
26,21500,kia,2020,11451,blue,CDID-820cb
27,12000,buick,2014,31039,brown,CDID-60a53
28,4190,ford,2017,44174,white,CDID-4a9BC
29,13000,ford,2008,93698,white,CDID-c2C86
30,12710,gmc,2017,26364,silver,CDID-bAc5a
31,18500,infiniti,2016,71967,gray,CDID-e8399
32,29800,chevrolet,1973,46226,red,CDID-ba9B9
33,5330,ford,2017,37792,black,CDID-3b7A8
34,13000,ford,2003,58817,gray,CDID-a39A9
35,11900,gmc,2017,27965,black,CDID-AB8C8
36,16600,mercedes-benz,2016,110907,white,CDID-Ca7C9
37,19200,chevrolet,2018,2430,white,CDID-499a5
38,7320,ford,2017,32366,gold,CDID-aAcA0
39,7000,ford,2003,176567,white,CDID-7c35B
40,12710,gmc,2017,30049,white,CDID-499a5
41,16600,mercedes-benz,2016,97983,white,CDID-bAc5a
42,30500,chevrolet,2018,30442,red,CDID-4a9BC
43,6330,ford,2017,38123,red,CDID-c2C86
44,55000,ford,2017,15273,black,CDID-7c35B
45,12520,gmc,2017,28972,black,CDID-Ab9C7
46,16200,jeep,2019,30061,red,CDID-aAcA0
47,19000,chevrolet,2017,18414,white,CDID-ca4ab
48,5580,dodge,2017,46829,gray,CDID-AB8C8
49,54000,ford,2017,26241,black,CDID-ba9B9
50,12710,gmc,2017,39886,red,CDID-820cb
51,16000,jeep,2019,31594,silver,CDID-60a53
52,27000,buick,2017,32107,black,CDID-2md09
53,7760,ford,2017,44794,gray,CDID-ca98A
54,19600,chrysler,2019,42648,gray,CDID-0A1B6
55,12920,gmc,2017,39165,silver,CDID-3b7A8
56,20000,jeep,2019,38355,charcoal,CDID-BB2c8
57,18100,buick,2017,46766,silver,CDID-Ca7C9
58,23000,chrysler,2020,2473,white,CDID-e8399
59,18500,chrysler,2019,38586,gray,CDID-a39A9
60,13490,gmc,2017,27842,white,CDID-499a5
61,20700,jeep,2019,31156,white,CDID-2md09
62,17800,chevrolet,2017,52435,black,CDID-ba9B9
63,6650,ford,2017,29942,black,CDID-0A1B6
64,29100,chrysler,2019,25281,red,CDID-4a9BC
65,12710,gmc,2017,32504,silver,CDID-820cb
66,21100,jeep,2019,28649,silver,CDID-aAcA0
67,18600,chevrolet,2017,35200,white,CDID-3b7A8
68,4340,ford,2017,25602,silver,CDID-c2C86
69,19300,chrysler,2019,34801,gray,CDID-a39A9
70,12780,gmc,2017,31009,black,CDID-60a53
71,15800,jeep,2019,35595,charcoal,CDID-ca98A
72,29400,bmw,2017,23765,black,CDID-ca4ab
73,4430,ford,2017,31792,black,CDID-bAc5a
74,19400,chrysler,2019,33135,gray,CDID-e8399
75,12520,gmc,2017,30636,red,CDID-Ab9C7
76,15900,jeep,2019,34502,red,CDID-Ca7C9
77,26400,buick,2017,25434,white,CDID-AB8C8
78,4140,ford,2017,36732,black,CDID-BB2c8
79,18300,chrysler,2019,41792,gray,CDID-7c35B
80,12520,gmc,2017,31992,black,CDID-e8399
81,17900,jeep,2019,32501,red,CDID-820cb
82,18300,chevrolet,2017,28395,black,CDID-60a53
83,4640,ford,2017,36139,blue,CDID-aAcA0
84,24000,ford,2016,84413,black,CDID-2md09
85,13200,gmc,2017,33457,white,CDID-Ca7C9
86,18000,jeep,2019,29245,gray,CDID-Ab9C7
87,14900,chevrolet,2017,12783,silver,CDID-AB8C8
88,4140,ford,2017,17617,white,CDID-ba9B9
89,11500,ford,2016,36855,black,CDID-ca98A
90,9110,ford,2017,110316,white,CDID-c2C86
91,7350,chrysler,2015,88227,black,CDID-bAc5a
92,24500,bmw,2017,17626,gray,CDID-BB2c8
93,9300,ford,2017,120353,white,CDID-3b7A8
94,39800,dodge,2015,3641,white,CDID-0A1B6
95,53500,bmw,2017,29355,blue,CDID-4a9BC
96,15110,ford,2017,39333,black,CDID-499a5
97,34000,ford,2015,42930,white,CDID-a39A9
98,26502,chevrolet,2017,24993,black,CDID-7c35B
99,5990,ford,2017,44929,black,CDID-ca4ab
100,13600,ford,2018,16971,black,CDID-3b7A8
101,23605,cadillac,2017,35598,gray,CDID-Ab9C7
102,10780,ford,2017,40455,white,CDID-c2C86
103,13800,ford,2018,23164,white,CDID-7c35B
104,25201,cadillac,2017,19011,black,CDID-499a5
105,7070,ford,2017,45191,white,CDID-820cb
106,8700,ford,2018,21405,white,CDID-bAc5a
107,18003,chevrolet,2017,19117,black,CDID-ca4ab
108,8530,ford,2017,42104,black,CDID-BB2c8
109,23100,dodge,2018,49496,white,CDID-0A1B6
110,24500,cadillac,2017,32418,white,CDID-2md09
111,7000,ford,2017,29882,white,CDID-60a53
112,17000,ford,2018,34819,gold,CDID-Ca7C9
113,34002,chevrolet,2017,31923,white,CDID-ba9B9
114,6980,ford,2017,29168,gray,CDID-AB8C8
115,25000,dodge,2018,28307,silver,CDID-aAcA0
116,20802,chevrolet,2017,33791,turquoise,CDID-a39A9
117,9200,ford,2017,21770,black,CDID-4a9BC
118,26500,chrysler,2017,18375,gray,CDID-e8399
119,24802,chevrolet,2017,14158,gray,CDID-ca98A
120,7070,ford,2017,30318,black,CDID-e8399
121,28500,ford,2017,48086,red,CDID-bAc5a
122,47500,cadillac,2017,26562,black,CDID-3b7A8
123,23500,ford,2017,57611,black,CDID-ca4ab
124,23505,chevrolet,2017,47357,black,CDID-c2C86
125,10940,ford,2017,84916,white,CDID-BB2c8
126,32100,ford,2017,24521,gray,CDID-7c35B
127,53000,chevrolet,2018,16105,black,CDID-60a53
128,6830,ford,2017,35888,gold,CDID-499a5
129,11900,dodge,2017,59537,gray,CDID-4a9BC
130,26414,chevrolet,2017,55222,black,CDID-ca98A
131,4160,dodge,2018,32870,gray,CDID-ba9B9
132,19405,chevrolet,2017,39687,silver,CDID-Ca7C9
133,5690,dodge,2018,47085,silver,CDID-820cb
134,25900,chrysler,2017,32224,silver,CDID-2md09
135,24005,chevrolet,2017,51293,beige,CDID-AB8C8
136,5090,dodge,2018,42989,gray,CDID-aAcA0
137,19500,chrysler,2017,31311,gray,CDID-0A1B6
138,32012,chevrolet,2017,46091,white,CDID-Ab9C7
139,6800,dodge,2016,49033,black,CDID-a39A9
140,4260,dodge,2018,33957,gray,CDID-820cb
141,0,dodge,2008,177948,orange,CDID-e8399
142,31802,chevrolet,2017,19845,silver,CDID-aAcA0
143,7210,dodge,2018,38910,black,CDID-AB8C8
144,0,dodge,2014,123660,silver,CDID-499a5
145,28402,chevrolet,2017,31234,black,CDID-Ab9C7
146,6800,dodge,2018,36767,gray,CDID-7c35B
147,33300,cadillac,2015,57932,gray,CDID-ba9B9
148,10780,dodge,2018,19420,white,CDID-60a53
149,6700,ford,2014,204155,beige,CDID-BB2c8
150,20000,chevrolet,2016,93493,white,CDID-ca4ab
151,6440,chrysler,2018,20942,gray,CDID-a39A9
152,19900,ford,2016,86826,gray,CDID-bAc5a
153,37000,chevrolet,2015,45787,white,CDID-Ca7C9
154,4040,dodge,2018,50765,red,CDID-0A1B6
155,22300,ford,2016,62774,black,CDID-4a9BC
156,31200,chevrolet,2011,76326,gray,CDID-c2C86
157,4290,dodge,2018,39029,white,CDID-2md09
158,22800,ford,2016,72885,silver,CDID-3b7A8
159,19002,cadillac,2016,46467,white,CDID-ca98A
160,4160,dodge,2018,6743,gray,CDID-a39A9
161,18500,ford,2016,33514,white,CDID-Ab9C7
162,39000,bmw,2016,39917,blue,CDID-0A1B6
163,6060,dodge,2018,32504,black,CDID-aAcA0
164,28800,ford,2016,77638,white,CDID-e8399
165,40000,bmw,2016,31727,gray,CDID-Ca7C9
166,6140,dodge,2018,52966,silver,CDID-bAc5a
167,21000,ford,2016,24157,gray,CDID-ba9B9
168,20105,buick,2016,51393,beige,CDID-ca98A
169,6760,dodge,2018,35461,white,CDID-60a53
170,25800,ford,2014,47055,brown,CDID-ca4ab
171,39000,bmw,2016,33110,black,CDID-4a9BC
172,5470,dodge,2018,39721,black,CDID-c2C86
173,14600,ford,2014,75785,black,CDID-820cb
174,24502,chevrolet,2016,33624,black,CDID-499a5
175,15110,ford,2017,42289,white,CDID-3b7A8
176,7900,ford,2014,79422,white,CDID-BB2c8
177,27305,chevrolet,2016,28844,blue,CDID-7c35B
178,15290,ford,2017,66582,white,CDID-AB8C8
179,26500,ford,2015,61436,silver,CDID-2md09
180,25502,chevrolet,2016,58303,silver,CDID-499a5
181,7320,ford,2017,55618,white,CDID-7c35B
182,3800,chevrolet,2009,261648,white,CDID-a39A9
183,24502,chevrolet,2016,33045,white,CDID-AB8C8
184,4140,ford,2017,40747,white,CDID-2md09
185,1400,dodge,2002,185460,black,CDID-Ca7C9
186,18402,cadillac,2016,26667,gray,CDID-bAc5a
187,4160,ford,2017,37176,white,CDID-0A1B6
188,175,chrysler,2000,231240,red,CDID-aAcA0
189,24503,chevrolet,2016,18006,brown,CDID-60a53
190,15840,ford,2017,72445,white,CDID-4a9BC
191,20500,ford,2014,123355,black,CDID-3b7A8
192,21003,chevrolet,2016,44116,silver,CDID-e8399
193,4200,ford,2017,60219,red,CDID-820cb
194,17400,ford,2011,135077,red,CDID-BB2c8
195,32001,chevrolet,2016,32058,black,CDID-ca4ab
196,0,ford,2017,76858,white,CDID-ca98A
197,15700,ford,2011,309564,white,CDID-c2C86
198,31009,chevrolet,2016,33928,white,CDID-Ab9C7
199,3740,ford,2017,90618,white,CDID-ba9B9
200,5000,dodge,2001,109360,white,CDID-ca98A
201,31002,chevrolet,2016,71809,white,CDID-BB2c8
202,3160,ford,2017,31563,gray,CDID-499a5
203,8600,dodge,2005,219823,gray,CDID-AB8C8
204,6000,chevrolet,2018,42090,gray,CDID-c2C86
205,12990,ford,2017,126523,white,CDID-e8399
206,25,chevrolet,2020,7232,black,CDID-ba9B9
207,13200,buick,2017,60171,black,CDID-4a9BC
208,4410,ford,2017,209915,white,CDID-2md09
209,25,chrysler,2005,151815,silver,CDID-0A1B6
210,22500,chevrolet,2020,13826,green,CDID-820cb
211,7420,ford,2017,55854,white,CDID-Ca7C9
212,13500,ford,2016,45757,silver,CDID-Ab9C7
213,15500,chevrolet,2020,16545,white,CDID-a39A9
214,3540,ford,2017,112893,white,CDID-ca4ab
215,17000,ford,2016,126802,black,CDID-bAc5a
216,45500,chevrolet,2020,13303,white,CDID-7c35B
217,4130,ford,2017,34061,silver,CDID-3b7A8
218,15700,ford,2015,70251,white,CDID-60a53
219,45500,chevrolet,2020,13679,gray,CDID-aAcA0
220,4130,ford,2017,42426,gray,CDID-499a5
221,15500,dodge,2012,66452,black,CDID-2md09
222,16300,chevrolet,2020,18221,white,CDID-Ca7C9
223,4530,ford,2017,41455,white,CDID-820cb
224,15600,dodge,2011,35275,black,CDID-Ab9C7
225,45500,chevrolet,2020,13885,white,CDID-7c35B
226,4100,ford,2017,38815,gray,CDID-ba9B9
227,18200,dodge,2011,162281,white,CDID-BB2c8
228,10200,chevrolet,2013,56479,black,CDID-3b7A8
229,4080,ford,2017,61027,black,CDID-a39A9
230,5700,ford,2014,178703,white,CDID-c2C86
